21,3
20430,7680,2
00,00,00,01
True,00,01,00,00
20
False,1,1
True,-1,8,9,1
03:53:30,-0.045E-3,ADC,-0.045E-3
03:53:31,-0.124E-3,ADC,-0.124E-3
03:53:32,-0.117E-3,ADC,-0.117E-3
03:53:33,-0.109E-3,ADC,-0.109E-3
03:53:34,1.317E-3,ADC,1.317E-3
03:53:35,1.254E-3,ADC,1.254E-3
03:53:36,1.755E-3,ADC,1.755E-3
03:53:37,1.359E-3,ADC,1.359E-3
03:53:38,1.561E-3,ADC,1.561E-3
03:53:39,1.606E-3,ADC,1.606E-3
03:53:40,1.277E-3,ADC,1.277E-3
03:53:41,1.016E-3,ADC,1.016E-3
03:53:42,1.220E-3,ADC,1.220E-3
03:53:43,1.117E-3,ADC,1.117E-3
03:53:44,1.002E-3,ADC,1.002E-3
03:53:45,1.229E-3,ADC,1.229E-3
03:53:46,0.971E-3,ADC,0.971E-3
03:53:47,0.957E-3,ADC,0.957E-3
03:53:48,1.074E-3,ADC,1.074E-3
03:53:49,0.891E-3,ADC,0.891E-3
03:53:50,0.904E-3,ADC,0.904E-3
03:53:51,0.939E-3,ADC,0.939E-3
03:53:52,0.958E-3,ADC,0.958E-3
03:53:53,0.801E-3,ADC,0.801E-3
03:53:54,0.782E-3,ADC,0.782E-3
03:53:55,0.890E-3,ADC,0.890E-3
03:53:56,0.932E-3,ADC,0.932E-3
03:53:57,0.794E-3,ADC,0.794E-3
03:53:58,0.831E-3,ADC,0.831E-3
03:53:59,0.760E-3,ADC,0.760E-3
03:54:00,1.105E-3,ADC,1.105E-3
03:54:01,0.879E-3,ADC,0.879E-3
03:54:02,0.725E-3,ADC,0.725E-3
03:54:03,0.800E-3,ADC,0.800E-3
03:54:04,0.902E-3,ADC,0.902E-3
03:54:05,0.674E-3,ADC,0.674E-3
03:54:06,0.852E-3,ADC,0.852E-3
03:54:07,0.664E-3,ADC,0.664E-3
03:54:08,0.716E-3,ADC,0.716E-3
03:54:09,0.694E-3,ADC,0.694E-3
03:54:10,0.944E-3,ADC,0.944E-3
03:54:11,1.007E-3,ADC,1.007E-3
03:54:12,0.894E-3,ADC,0.894E-3
03:54:13,0.793E-3,ADC,0.793E-3
03:54:14,0.597E-3,ADC,0.597E-3
03:54:15,0.671E-3,ADC,0.671E-3
03:54:16,0.667E-3,ADC,0.667E-3
03:54:17,0.708E-3,ADC,0.708E-3
03:54:18,0.892E-3,ADC,0.892E-3
03:54:19,0.641E-3,ADC,0.641E-3
03:54:20,0.727E-3,ADC,0.727E-3
03:54:21,0.566E-3,ADC,0.566E-3
03:54:22,0.649E-3,ADC,0.649E-3
03:54:23,0.688E-3,ADC,0.688E-3
03:54:24,0.848E-3,ADC,0.848E-3
03:54:25,0.638E-3,ADC,0.638E-3
03:54:26,0.659E-3,ADC,0.659E-3
03:54:27,0.714E-3,ADC,0.714E-3
03:54:28,0.575E-3,ADC,0.575E-3
03:54:29,0.649E-3,ADC,0.649E-3
03:54:30,0.577E-3,ADC,0.577E-3
03:54:31,0.699E-3,ADC,0.699E-3
03:54:32,0.687E-3,ADC,0.687E-3
03:54:33,0.755E-3,ADC,0.755E-3
03:54:34,0.754E-3,ADC,0.754E-3
03:54:35,0.586E-3,ADC,0.586E-3
03:54:36,0.619E-3,ADC,0.619E-3
03:54:37,0.585E-3,ADC,0.585E-3
03:54:38,0.688E-3,ADC,0.688E-3
03:54:39,0.791E-3,ADC,0.791E-3
03:54:40,0.549E-3,ADC,0.549E-3
03:54:41,0.693E-3,ADC,0.693E-3
03:54:42,0.495E-3,ADC,0.495E-3
03:54:43,0.668E-3,ADC,0.668E-3
03:54:44,0.478E-3,ADC,0.478E-3
03:54:45,0.684E-3,ADC,0.684E-3
03:54:46,0.508E-3,ADC,0.508E-3
03:54:47,0.601E-3,ADC,0.601E-3
03:54:48,0.578E-3,ADC,0.578E-3
03:54:49,0.687E-3,ADC,0.687E-3
03:54:50,0.582E-3,ADC,0.582E-3
03:54:51,0.627E-3,ADC,0.627E-3
03:54:52,0.584E-3,ADC,0.584E-3
03:54:53,0.517E-3,ADC,0.517E-3
