n,tau,var,n_fit,tau_fit,var_fit
-0.0,-1.56,-70908.41,2.0,105.0,1
1.56,227.41,33194.75,1.26,224.0,1
1.38,240.67,41899.03,1.16,229.0,1
1.29,261.44,52958.51,1.39,205.0,1
-0.18,-237.29,-319959.05,1.99,114.0,1
