n,tau,var,n_fit,tau_fit,var_fit
2.32,278.15,33296.84,1.34,370.0,1
2.05,248.23,30051.18,1.23,321.0,1
2.12,216.37,22085.2,1.34,279.0,1
-9.48,152.84,-2464.41,1.73,201.0,1
2.93,162.72,9043.29,1.34,205.0,1
