n,tau,var,n_fit,tau_fit,var_fit
1.77,222.4,27959.03,1.26,254.0,1
1.59,262.12,43171.95,1.4,253.0,1
1.46,222.2,33896.68,1.28,218.0,1
1.77,307.33,53509.08,1.22,318.0,1
1.56,253.45,41134.31,1.5,218.0,1
