n,tau,var,n_fit,tau_fit,var_fit
1.87,246.37,32445.54,1.27,296.0,1
1.82,241.41,32066.23,1.42,269.0,1
3.77,170.14,7681.5,1.55,193.0,1
1.77,216.5,26486.78,1.35,231.0,1
1.55,233.04,35016.66,1.41,234.0,1
