i,tm,var,n,r,a,b,c
1,255.23,42478.67,1.53,91559.44,281.38,0.01,0.02
2,258.37,42847.96,1.56,68256.34,183.4,0.01,0.02
3,248.25,41729.37,1.48,76509.3,161.94,0.01,0.02
4,250.55,40560.03,1.55,66182.95,164.46,0.01,0.02
5,224.99,29633.99,1.71,79665.14,197.12,0.01,0.02
