n,tau,var,n_fit,tau_fit,var_fit
1.32,228.5,39492.94,1.02,232.0,1
1.22,223.33,40805.3,1.1,200.0,1
1.5,208.26,28916.1,1.17,223.0,1
1.55,197.05,25051.28,1.37,195.0,1
1.57,231.26,34034.06,1.25,243.0,1
