21,3
20430,7935,0
00,00,00,01
True,00,01,00,00
20
False,1,1
True,0,4500,9,1
14:25:24,0.000,Hz,0.000
14:25:25,0.000,Hz,0.000
14:25:26,0.000,Hz,0.000
14:25:27,0.000,Hz,0.000
14:25:28,0.000,Hz,0.000
14:25:29,0.000,Hz,0.000
14:25:30,0.000,Hz,0.000
14:25:31,0.000,Hz,0.000
14:25:32,0.000,Hz,0.000
14:25:33,0.000,Hz,0.000
14:25:34,0.000,Hz,0.000
14:25:35,0.000,Hz,0.000
14:25:36,0.000,Hz,0.000
14:25:37,0.000,Hz,0.000
14:25:38,0.000,Hz,0.000
14:25:39,0.000,Hz,0.000
14:25:40,0.000,Hz,0.000
14:25:41,0.000,Hz,0.000
14:25:42,0.000,Hz,0.000
14:25:43,0.000,Hz,0.000
14:25:44,0.000,Hz,0.000
14:25:45,0.000,Hz,0.000
14:25:46,0.000,Hz,0.000
14:25:47,0.000,Hz,0.000
14:25:48,0.000,Hz,0.000
14:25:49,0.000,Hz,0.000
14:25:50,0.000,Hz,0.000
14:25:51,0.000,Hz,0.000
14:25:52,0.000,Hz,0.000
14:25:53,0.000,Hz,0.000
14:25:54,0.000,Hz,0.000
14:25:55,0.000,Hz,0.000
14:25:56,0.000,Hz,0.000
14:25:57,+OL,Hz,0.00
14:25:58,44.36,Hz,44.36
14:25:59,41.77,Hz,41.77
14:26:00,40.06,Hz,40.06
14:26:01,39.98,Hz,39.98
14:26:02,38.16,Hz,38.16
14:26:03,38.82,Hz,38.82
14:26:04,38.72,Hz,38.72
14:26:05,38.73,Hz,38.73
14:26:06,39.19,Hz,39.19
14:26:07,31.16,Hz,31.16
14:26:08,0.000,Hz,0.000
14:26:09,1.917,Hz,1.917
14:26:10,0.000,Hz,0.000
14:26:11,0.000,Hz,0.000
