21,3
20430,7935,0
00,00,00,01
True,00,01,00,00
20
False,1,1
True,0,4,5,9,1
14:40:23,4.068E-3,ADC,4.068E-3
14:40:24,3.957E-3,ADC,3.957E-3
14:40:25,3.960E-3,ADC,3.960E-3
14:40:26,3.830E-3,ADC,3.830E-3
14:40:27,3.767E-3,ADC,3.767E-3
14:40:28,3.795E-3,ADC,3.795E-3
14:40:29,3.753E-3,ADC,3.753E-3
14:40:30,3.719E-3,ADC,3.719E-3
14:40:31,3.631E-3,ADC,3.631E-3
14:40:32,3.698E-3,ADC,3.698E-3
14:40:33,3.570E-3,ADC,3.570E-3
14:40:34,3.608E-3,ADC,3.608E-3
14:40:35,3.572E-3,ADC,3.572E-3
14:40:36,3.773E-3,ADC,3.773E-3
14:40:37,3.637E-3,ADC,3.637E-3
14:40:38,3.715E-3,ADC,3.715E-3
14:40:39,3.541E-3,ADC,3.541E-3
14:40:40,3.433E-3,ADC,3.433E-3
14:40:41,3.378E-3,ADC,3.378E-3
14:40:42,3.481E-3,ADC,3.481E-3
14:40:43,3.352E-3,ADC,3.352E-3
14:40:44,3.433E-3,ADC,3.433E-3
14:40:45,3.372E-3,ADC,3.372E-3
14:40:46,3.532E-3,ADC,3.532E-3
14:40:47,3.270E-3,ADC,3.270E-3
14:40:48,3.316E-3,ADC,3.316E-3
14:40:49,3.352E-3,ADC,3.352E-3
14:40:50,3.398E-3,ADC,3.398E-3
14:40:51,3.200E-3,ADC,3.200E-3
14:40:52,3.312E-3,ADC,3.312E-3
14:40:53,3.192E-3,ADC,3.192E-3
14:40:54,3.067E-3,ADC,3.067E-3
14:40:55,3.111E-3,ADC,3.111E-3
14:40:56,3.139E-3,ADC,3.139E-3
14:40:57,3.144E-3,ADC,3.144E-3
14:40:58,3.113E-3,ADC,3.113E-3
14:40:59,3.109E-3,ADC,3.109E-3
14:41:00,3.305E-3,ADC,3.305E-3
14:41:01,3.031E-3,ADC,3.031E-3
14:41:02,3.075E-3,ADC,3.075E-3
14:41:03,3.023E-3,ADC,3.023E-3
14:41:04,3.171E-3,ADC,3.171E-3
14:41:05,3.102E-3,ADC,3.102E-3
14:41:06,2.954E-3,ADC,2.954E-3
14:41:07,3.162E-3,ADC,3.162E-3
14:41:08,2.877E-3,ADC,2.877E-3
14:41:09,3.133E-3,ADC,3.133E-3
14:41:10,3.016E-3,ADC,3.016E-3
14:41:11,2.981E-3,ADC,2.981E-3
14:41:12,3.111E-3,ADC,3.111E-3
14:41:13,2.874E-3,ADC,2.874E-3
14:41:14,3.167E-3,ADC,3.167E-3
14:41:15,2.985E-3,ADC,2.985E-3
14:41:16,2.972E-3,ADC,2.972E-3
14:41:17,2.928E-3,ADC,2.928E-3
14:41:18,2.954E-3,ADC,2.954E-3
14:41:19,3.064E-3,ADC,3.064E-3
14:41:20,2.952E-3,ADC,2.952E-3
14:41:21,3.014E-3,ADC,3.014E-3
14:41:22,3.015E-3,ADC,3.015E-3
14:41:23,2.912E-3,ADC,2.912E-3
14:41:24,2.836E-3,ADC,2.836E-3
14:41:25,2.933E-3,ADC,2.933E-3
14:41:26,2.840E-3,ADC,2.840E-3
14:41:27,2.930E-3,ADC,2.930E-3
14:41:28,2.879E-3,ADC,2.879E-3
14:41:29,2.829E-3,ADC,2.829E-3
14:41:30,3.025E-3,ADC,3.025E-3
14:41:31,2.861E-3,ADC,2.861E-3
14:41:32,3.018E-3,ADC,3.018E-3
14:41:33,2.776E-3,ADC,2.776E-3
14:41:34,2.891E-3,ADC,2.891E-3
14:41:35,2.926E-3,ADC,2.926E-3
14:41:36,2.809E-3,ADC,2.809E-3
14:41:37,2.903E-3,ADC,2.903E-3
14:41:38,2.760E-3,ADC,2.760E-3
14:41:39,2.946E-3,ADC,2.946E-3
14:41:40,2.845E-3,ADC,2.845E-3
14:41:41,2.802E-3,ADC,2.802E-3
14:41:42,3.013E-3,ADC,3.013E-3
14:41:43,2.854E-3,ADC,2.854E-3
14:41:44,2.973E-3,ADC,2.973E-3
14:41:45,2.830E-3,ADC,2.830E-3
14:41:46,3.077E-3,ADC,3.077E-3
