21,3
20430,7935,0
00,00,00,01
True,00,01,00,00
20
False,1,1
True,0,3,5,7,1
15:20:59,3.252E-3,ADC,3.252E-3
15:21:00,3.039E-3,ADC,3.039E-3
15:21:01,2.922E-3,ADC,2.922E-3
15:21:02,3.123E-3,ADC,3.123E-3
15:21:03,3.058E-3,ADC,3.058E-3
15:21:04,3.134E-3,ADC,3.134E-3
15:21:05,2.983E-3,ADC,2.983E-3
15:21:06,3.219E-3,ADC,3.219E-3
15:21:07,2.857E-3,ADC,2.857E-3
15:21:08,2.919E-3,ADC,2.919E-3
15:21:09,3.006E-3,ADC,3.006E-3
15:21:10,2.889E-3,ADC,2.889E-3
15:21:11,2.875E-3,ADC,2.875E-3
15:21:12,2.874E-3,ADC,2.874E-3
15:21:13,2.955E-3,ADC,2.955E-3
15:21:14,2.739E-3,ADC,2.739E-3
15:21:15,2.812E-3,ADC,2.812E-3
15:21:16,2.605E-3,ADC,2.605E-3
15:21:17,2.805E-3,ADC,2.805E-3
15:21:18,2.767E-3,ADC,2.767E-3
15:21:19,2.652E-3,ADC,2.652E-3
15:21:20,2.954E-3,ADC,2.954E-3
15:21:21,2.575E-3,ADC,2.575E-3
15:21:22,2.847E-3,ADC,2.847E-3
15:21:23,2.697E-3,ADC,2.697E-3
15:21:24,2.697E-3,ADC,2.697E-3
15:21:25,2.735E-3,ADC,2.735E-3
15:21:26,2.755E-3,ADC,2.755E-3
15:21:27,2.793E-3,ADC,2.793E-3
15:21:28,2.540E-3,ADC,2.540E-3
15:21:29,2.682E-3,ADC,2.682E-3
15:21:30,2.740E-3,ADC,2.740E-3
15:21:31,2.921E-3,ADC,2.921E-3
15:21:32,2.679E-3,ADC,2.679E-3
15:21:33,2.627E-3,ADC,2.627E-3
15:21:34,2.865E-3,ADC,2.865E-3
15:21:35,2.651E-3,ADC,2.651E-3
15:21:36,2.698E-3,ADC,2.698E-3
15:21:37,2.566E-3,ADC,2.566E-3
15:21:38,2.865E-3,ADC,2.865E-3
15:21:39,2.522E-3,ADC,2.522E-3
15:21:40,2.588E-3,ADC,2.588E-3
15:21:41,2.564E-3,ADC,2.564E-3
15:21:42,2.577E-3,ADC,2.577E-3
15:21:43,2.647E-3,ADC,2.647E-3
15:21:44,2.764E-3,ADC,2.764E-3
15:21:45,2.593E-3,ADC,2.593E-3
15:21:46,2.781E-3,ADC,2.781E-3
15:21:47,2.596E-3,ADC,2.596E-3
15:21:48,2.830E-3,ADC,2.830E-3
15:21:49,2.470E-3,ADC,2.470E-3
15:21:50,2.784E-3,ADC,2.784E-3
15:21:51,2.451E-3,ADC,2.451E-3
15:21:52,2.685E-3,ADC,2.685E-3
15:21:53,2.572E-3,ADC,2.572E-3
15:21:54,2.471E-3,ADC,2.471E-3
15:21:55,2.679E-3,ADC,2.679E-3
15:21:56,2.449E-3,ADC,2.449E-3
15:21:57,2.622E-3,ADC,2.622E-3
15:21:58,2.458E-3,ADC,2.458E-3
15:21:59,2.484E-3,ADC,2.484E-3
15:22:00,2.572E-3,ADC,2.572E-3
15:22:01,2.547E-3,ADC,2.547E-3
15:22:02,2.661E-3,ADC,2.661E-3
15:22:03,2.448E-3,ADC,2.448E-3
15:22:04,2.750E-3,ADC,2.750E-3
15:22:05,2.498E-3,ADC,2.498E-3
15:22:06,2.708E-3,ADC,2.708E-3
15:22:07,2.577E-3,ADC,2.577E-3
15:22:08,2.638E-3,ADC,2.638E-3
15:22:09,2.525E-3,ADC,2.525E-3
15:22:10,2.460E-3,ADC,2.460E-3
15:22:11,2.511E-3,ADC,2.511E-3
15:22:12,2.421E-3,ADC,2.421E-3
15:22:13,2.530E-3,ADC,2.530E-3
15:22:14,2.312E-3,ADC,2.312E-3
15:22:15,2.473E-3,ADC,2.473E-3
15:22:16,2.394E-3,ADC,2.394E-3
15:22:17,2.334E-3,ADC,2.334E-3
15:22:18,2.539E-3,ADC,2.539E-3
15:22:19,2.260E-3,ADC,2.260E-3
15:22:20,2.445E-3,ADC,2.445E-3
15:22:21,2.398E-3,ADC,2.398E-3
15:22:22,2.531E-3,ADC,2.531E-3
