21,3
20430,7935,0
00,00,00,01
True,00,01,00,00
20
False,1,1
True,-1,5,6,1
14:21:10,-0.010E-3,ADC,-0.010E-3
14:21:11,-0.094E-3,ADC,-0.094E-3
14:21:12,-0.167E-3,ADC,-0.167E-3
14:21:52,4.316E-3,ADC,4.316E-3
14:21:53,4.098E-3,ADC,4.098E-3
14:21:54,4.177E-3,ADC,4.177E-3
14:21:55,4.025E-3,ADC,4.025E-3
14:21:56,3.946E-3,ADC,3.946E-3
14:21:57,3.897E-3,ADC,3.897E-3
14:21:58,3.737E-3,ADC,3.737E-3
14:21:59,3.802E-3,ADC,3.802E-3
14:22:00,3.508E-3,ADC,3.508E-3
14:22:01,3.516E-3,ADC,3.516E-3
14:22:02,3.442E-3,ADC,3.442E-3
14:22:03,3.371E-3,ADC,3.371E-3
14:22:04,3.419E-3,ADC,3.419E-3
14:22:05,3.256E-3,ADC,3.256E-3
14:22:06,3.399E-3,ADC,3.399E-3
14:22:07,3.305E-3,ADC,3.305E-3
14:22:08,3.340E-3,ADC,3.340E-3
14:22:09,3.146E-3,ADC,3.146E-3
14:22:10,3.076E-3,ADC,3.076E-3
14:22:11,3.074E-3,ADC,3.074E-3
14:22:12,3.128E-3,ADC,3.128E-3
14:22:13,2.930E-3,ADC,2.930E-3
14:22:14,3.058E-3,ADC,3.058E-3
14:22:15,2.922E-3,ADC,2.922E-3
14:22:16,3.058E-3,ADC,3.058E-3
14:22:17,2.968E-3,ADC,2.968E-3
14:22:18,2.926E-3,ADC,2.926E-3
14:22:19,2.904E-3,ADC,2.904E-3
14:22:20,3.075E-3,ADC,3.075E-3
14:22:21,2.871E-3,ADC,2.871E-3
14:22:22,2.825E-3,ADC,2.825E-3
14:22:23,2.854E-3,ADC,2.854E-3
14:22:24,2.853E-3,ADC,2.853E-3
14:22:25,2.782E-3,ADC,2.782E-3
14:22:26,2.816E-3,ADC,2.816E-3
14:22:27,2.832E-3,ADC,2.832E-3
14:22:28,2.770E-3,ADC,2.770E-3
14:22:29,2.766E-3,ADC,2.766E-3
14:22:30,2.750E-3,ADC,2.750E-3
14:22:31,2.789E-3,ADC,2.789E-3
14:22:32,2.872E-3,ADC,2.872E-3
14:22:33,2.778E-3,ADC,2.778E-3
14:22:34,2.882E-3,ADC,2.882E-3
14:22:35,2.799E-3,ADC,2.799E-3
14:22:36,2.988E-3,ADC,2.988E-3
14:22:37,2.846E-3,ADC,2.846E-3
14:22:38,2.839E-3,ADC,2.839E-3
14:22:39,2.916E-3,ADC,2.916E-3
14:22:40,2.794E-3,ADC,2.794E-3
14:22:41,2.840E-3,ADC,2.840E-3
14:22:42,2.785E-3,ADC,2.785E-3
14:22:43,2.802E-3,ADC,2.802E-3
14:22:44,2.834E-3,ADC,2.834E-3
14:22:45,2.817E-3,ADC,2.817E-3
14:22:46,2.871E-3,ADC,2.871E-3
14:22:47,2.811E-3,ADC,2.811E-3
14:22:48,3.015E-3,ADC,3.015E-3
14:22:49,2.877E-3,ADC,2.877E-3
14:22:50,2.836E-3,ADC,2.836E-3
14:22:51,2.815E-3,ADC,2.815E-3
14:22:52,2.999E-3,ADC,2.999E-3
14:22:53,2.777E-3,ADC,2.777E-3
14:22:54,2.851E-3,ADC,2.851E-3
14:22:55,2.842E-3,ADC,2.842E-3
14:22:56,2.874E-3,ADC,2.874E-3
14:22:57,2.913E-3,ADC,2.913E-3
14:22:58,2.804E-3,ADC,2.804E-3
14:22:59,2.839E-3,ADC,2.839E-3
14:23:00,2.863E-3,ADC,2.863E-3
14:23:01,2.901E-3,ADC,2.901E-3
14:23:02,2.863E-3,ADC,2.863E-3
14:23:03,2.970E-3,ADC,2.970E-3
14:23:04,2.986E-3,ADC,2.986E-3
14:23:05,2.977E-3,ADC,2.977E-3
14:23:06,2.884E-3,ADC,2.884E-3
14:23:07,2.923E-3,ADC,2.923E-3
14:23:08,3.034E-3,ADC,3.034E-3
14:23:09,2.796E-3,ADC,2.796E-3
14:23:10,2.812E-3,ADC,2.812E-3
14:23:11,2.816E-3,ADC,2.816E-3
14:23:12,2.833E-3,ADC,2.833E-3
