21,3
20430,7935,0
00,00,00,01
True,00,01,00,00
20
False,1,1
True,0,3500,7,1
14:51:45,0.000,Hz,0.000
14:51:46,0.000,Hz,0.000
14:51:47,0.000,Hz,0.000
14:51:48,0.000,Hz,0.000
14:51:49,0.000,Hz,0.000
14:51:50,0.000,Hz,0.000
14:51:51,0.000,Hz,0.000
14:51:52,+OL,Hz,0.00
14:51:53,34.69,Hz,34.69
14:51:54,30.39,Hz,30.39
14:51:55,32.48,Hz,32.48
14:51:56,31.76,Hz,31.76
14:51:57,32.86,Hz,32.86
14:51:58,32.16,Hz,32.16
14:51:59,32.09,Hz,32.09
14:52:00,32.26,Hz,32.26
14:52:01,32.71,Hz,32.71
14:52:02,24.05,Hz,24.05
14:52:03,0.000,Hz,0.000
14:52:04,0.000,Hz,0.000
14:52:05,0.000,Hz,0.000
