21,3
20430,7935,0
00,00,00,01
True,00,01,00,00
20
False,1,1
True,0,6000,6,1
14:52:30,0.000,Hz,0.000
14:52:31,0.000,Hz,0.000
14:52:32,+OL,Hz,0.00
14:52:33,40.91,Hz,40.91
14:52:34,38.96,Hz,38.96
14:52:35,39.42,Hz,39.42
14:52:36,39.49,Hz,39.49
14:52:37,38.58,Hz,38.58
14:52:38,39.06,Hz,39.06
14:52:39,38.14,Hz,38.14
14:52:40,38.79,Hz,38.79
14:52:41,37.89,Hz,37.89
14:52:42,33.70,Hz,33.70
14:52:43,5.530,Hz,5.530
14:52:44,0.000,Hz,0.000
14:52:45,0.000,Hz,0.000
14:52:46,0.000,Hz,0.000
14:52:47,0.000,Hz,0.000
14:52:48,0.000,Hz,0.000
14:52:49,0.000,Hz,0.000
14:52:50,0.000,Hz,0.000
