21,3
20430,7935,0
00,00,00,01
True,00,01,00,00
20
False,1,1
True,0,7,7,1
19:45:56,6.357E-3,ADC,6.357E-3
19:45:57,6.267E-3,ADC,6.267E-3
19:45:58,6.367E-3,ADC,6.367E-3
19:45:59,6.116E-3,ADC,6.116E-3
19:46:00,6.170E-3,ADC,6.170E-3
19:46:01,6.113E-3,ADC,6.113E-3
19:46:02,6.126E-3,ADC,6.126E-3
19:46:03,6.153E-3,ADC,6.153E-3
19:46:04,5.931E-3,ADC,5.931E-3
19:46:05,5.949E-3,ADC,5.949E-3
19:46:06,5.943E-3,ADC,5.943E-3
19:46:07,6.141E-3,ADC,6.141E-3
19:46:08,5.941E-3,ADC,5.941E-3
19:46:09,5.868E-3,ADC,5.868E-3
19:46:10,5.923E-3,ADC,5.923E-3
19:46:11,5.812E-3,ADC,5.812E-3
19:46:12,6.033E-3,ADC,6.033E-3
19:46:13,5.810E-3,ADC,5.810E-3
19:46:14,5.855E-3,ADC,5.855E-3
19:46:15,5.722E-3,ADC,5.722E-3
19:46:16,5.918E-3,ADC,5.918E-3
19:46:17,5.778E-3,ADC,5.778E-3
19:46:18,5.698E-3,ADC,5.698E-3
19:46:19,5.898E-3,ADC,5.898E-3
19:46:20,5.687E-3,ADC,5.687E-3
19:46:21,5.648E-3,ADC,5.648E-3
19:46:22,5.544E-3,ADC,5.544E-3
19:46:23,5.804E-3,ADC,5.804E-3
19:46:24,5.611E-3,ADC,5.611E-3
19:46:25,5.642E-3,ADC,5.642E-3
19:46:26,5.648E-3,ADC,5.648E-3
19:46:27,5.551E-3,ADC,5.551E-3
19:46:28,5.747E-3,ADC,5.747E-3
19:46:29,5.500E-3,ADC,5.500E-3
19:46:30,5.610E-3,ADC,5.610E-3
19:46:31,5.540E-3,ADC,5.540E-3
19:46:32,5.605E-3,ADC,5.605E-3
19:46:33,5.676E-3,ADC,5.676E-3
19:46:34,5.457E-3,ADC,5.457E-3
19:46:35,5.709E-3,ADC,5.709E-3
19:46:36,5.475E-3,ADC,5.475E-3
19:46:37,5.485E-3,ADC,5.485E-3
19:46:38,5.532E-3,ADC,5.532E-3
19:46:39,5.450E-3,ADC,5.450E-3
19:46:40,5.462E-3,ADC,5.462E-3
19:46:41,5.473E-3,ADC,5.473E-3
19:46:42,5.545E-3,ADC,5.545E-3
19:46:43,5.479E-3,ADC,5.479E-3
19:46:44,5.490E-3,ADC,5.490E-3
19:46:45,5.510E-3,ADC,5.510E-3
19:46:46,5.383E-3,ADC,5.383E-3
19:46:47,5.455E-3,ADC,5.455E-3
19:46:48,5.494E-3,ADC,5.494E-3
19:46:49,5.456E-3,ADC,5.456E-3
19:46:50,5.373E-3,ADC,5.373E-3
19:46:51,5.422E-3,ADC,5.422E-3
19:46:52,5.311E-3,ADC,5.311E-3
19:46:53,5.401E-3,ADC,5.401E-3
19:46:54,5.337E-3,ADC,5.337E-3
19:46:55,5.351E-3,ADC,5.351E-3
19:46:56,5.357E-3,ADC,5.357E-3
19:46:57,5.258E-3,ADC,5.258E-3
19:46:58,5.355E-3,ADC,5.355E-3
19:46:59,5.328E-3,ADC,5.328E-3
19:47:00,5.397E-3,ADC,5.397E-3
19:47:01,5.386E-3,ADC,5.386E-3
19:47:02,5.246E-3,ADC,5.246E-3
19:47:03,5.371E-3,ADC,5.371E-3
19:47:04,5.287E-3,ADC,5.287E-3
19:47:05,5.500E-3,ADC,5.500E-3
19:47:06,5.330E-3,ADC,5.330E-3
19:47:07,5.339E-3,ADC,5.339E-3
19:47:08,5.350E-3,ADC,5.350E-3
19:47:09,5.253E-3,ADC,5.253E-3
19:47:10,5.371E-3,ADC,5.371E-3
19:47:11,5.304E-3,ADC,5.304E-3
19:47:12,5.309E-3,ADC,5.309E-3
19:47:13,5.327E-3,ADC,5.327E-3
19:47:14,5.306E-3,ADC,5.306E-3
19:47:15,5.427E-3,ADC,5.427E-3
19:47:16,5.321E-3,ADC,5.321E-3
19:47:17,5.290E-3,ADC,5.290E-3
19:47:18,5.274E-3,ADC,5.274E-3
19:47:19,5.244E-3,ADC,5.244E-3
