21,3
20430,7935,0
00,00,00,01
True,00,01,00,00
20
False,1,1
True,0,3000,6,1
14:29:54,0.000,Hz,0.000
14:29:55,0.000,Hz,0.000
14:29:56,0.000,Hz,0.000
14:29:57,0.000,Hz,0.000
14:29:58,0.000,Hz,0.000
14:29:59,0.000,Hz,0.000
14:30:00,0.000,Hz,0.000
14:30:01,0.000,Hz,0.000
14:30:02,+OL,Hz,0.00
14:30:03,26.57,Hz,26.57
14:30:04,27.57,Hz,27.57
14:30:05,26.97,Hz,26.97
14:30:06,27.07,Hz,27.07
14:30:07,29.44,Hz,29.44
14:30:08,29.40,Hz,29.40
14:30:09,27.43,Hz,27.43
14:30:10,29.20,Hz,29.20
14:30:11,26.95,Hz,26.95
14:30:12,20.89,Hz,20.89
14:30:13,20.89,Hz,20.89
14:30:14,0.000,Hz,0.000
14:30:15,0.000,Hz,0.000
14:30:16,0.000,Hz,0.000
14:30:17,0.000,Hz,0.000
14:30:18,0.000,Hz,0.000
14:30:19,0.000,Hz,0.000
14:30:20,0.000,Hz,0.000
