21,3
20430,7935,2
00,00,00,01
True,00,01,00,00
20
False,1,1
True,0,2,5,5,1
17:14:07,2.373E-3,ADC,2.373E-3
17:14:08,2.204E-3,ADC,2.204E-3
17:14:09,2.105E-3,ADC,2.105E-3
17:14:10,2.243E-3,ADC,2.243E-3
17:14:11,2.017E-3,ADC,2.017E-3
17:14:12,2.112E-3,ADC,2.112E-3
17:14:13,2.057E-3,ADC,2.057E-3
17:14:14,2.032E-3,ADC,2.032E-3
17:14:15,1.959E-3,ADC,1.959E-3
17:14:16,1.908E-3,ADC,1.908E-3
17:14:17,2.147E-3,ADC,2.147E-3
17:14:18,1.900E-3,ADC,1.900E-3
17:14:19,2.008E-3,ADC,2.008E-3
17:14:20,1.881E-3,ADC,1.881E-3
17:14:21,2.096E-3,ADC,2.096E-3
17:14:22,1.818E-3,ADC,1.818E-3
17:14:23,1.972E-3,ADC,1.972E-3
17:14:24,1.873E-3,ADC,1.873E-3
17:14:25,1.877E-3,ADC,1.877E-3
17:14:26,1.832E-3,ADC,1.832E-3
17:14:27,1.798E-3,ADC,1.798E-3
17:14:28,1.987E-3,ADC,1.987E-3
17:14:29,1.788E-3,ADC,1.788E-3
17:14:30,1.832E-3,ADC,1.832E-3
17:14:31,1.814E-3,ADC,1.814E-3
17:14:32,1.757E-3,ADC,1.757E-3
17:14:33,1.952E-3,ADC,1.952E-3
17:14:34,1.688E-3,ADC,1.688E-3
17:14:35,1.971E-3,ADC,1.971E-3
17:14:36,1.739E-3,ADC,1.739E-3
17:14:37,1.836E-3,ADC,1.836E-3
17:14:38,1.750E-3,ADC,1.750E-3
17:14:39,1.914E-3,ADC,1.914E-3
17:14:40,1.740E-3,ADC,1.740E-3
17:14:41,1.615E-3,ADC,1.615E-3
17:14:42,1.802E-3,ADC,1.802E-3
17:14:43,1.727E-3,ADC,1.727E-3
17:14:44,1.703E-3,ADC,1.703E-3
17:14:45,1.691E-3,ADC,1.691E-3
17:14:46,1.688E-3,ADC,1.688E-3
17:14:47,1.884E-3,ADC,1.884E-3
17:14:48,1.675E-3,ADC,1.675E-3
17:14:49,1.879E-3,ADC,1.879E-3
17:14:50,1.785E-3,ADC,1.785E-3
17:14:51,1.694E-3,ADC,1.694E-3
17:14:52,1.694E-3,ADC,1.694E-3
17:14:53,1.610E-3,ADC,1.610E-3
17:14:54,1.626E-3,ADC,1.626E-3
17:14:55,1.596E-3,ADC,1.596E-3
17:14:56,1.573E-3,ADC,1.573E-3
17:14:57,1.774E-3,ADC,1.774E-3
17:14:58,1.621E-3,ADC,1.621E-3
17:14:59,1.582E-3,ADC,1.582E-3
17:15:00,1.639E-3,ADC,1.639E-3
17:15:01,1.667E-3,ADC,1.667E-3
17:15:02,1.627E-3,ADC,1.627E-3
17:15:03,1.776E-3,ADC,1.776E-3
17:15:04,1.585E-3,ADC,1.585E-3
17:15:05,1.806E-3,ADC,1.806E-3
17:15:06,1.514E-3,ADC,1.514E-3
17:15:07,1.545E-3,ADC,1.545E-3
17:15:08,1.699E-3,ADC,1.699E-3
17:15:09,1.763E-3,ADC,1.763E-3
17:15:10,1.632E-3,ADC,1.632E-3
17:15:11,1.571E-3,ADC,1.571E-3
17:15:12,1.600E-3,ADC,1.600E-3
17:15:13,1.573E-3,ADC,1.573E-3
17:15:14,1.555E-3,ADC,1.555E-3
17:15:15,1.662E-3,ADC,1.662E-3
17:15:16,1.588E-3,ADC,1.588E-3
17:15:17,1.742E-3,ADC,1.742E-3
17:15:18,1.522E-3,ADC,1.522E-3
17:15:19,1.554E-3,ADC,1.554E-3
17:15:20,1.563E-3,ADC,1.563E-3
17:15:21,1.568E-3,ADC,1.568E-3
17:15:22,1.566E-3,ADC,1.566E-3
17:15:23,1.523E-3,ADC,1.523E-3
17:15:24,1.746E-3,ADC,1.746E-3
17:15:25,1.506E-3,ADC,1.506E-3
17:15:26,1.583E-3,ADC,1.583E-3
17:15:27,1.493E-3,ADC,1.493E-3
17:15:28,1.628E-3,ADC,1.628E-3
17:15:29,1.536E-3,ADC,1.536E-3
17:15:30,1.561E-3,ADC,1.561E-3
