21,3
20430,7935,0
00,00,00,01
True,00,01,00,00
20
False,1,1
True,0,2,10,1
17:28:55,1.652E-3,ADC,1.652E-3
17:28:56,1.864E-3,ADC,1.864E-3
17:28:57,1.656E-3,ADC,1.656E-3
17:28:58,1.715E-3,ADC,1.715E-3
17:28:59,1.627E-3,ADC,1.627E-3
17:29:00,1.483E-3,ADC,1.483E-3
17:29:01,1.697E-3,ADC,1.697E-3
17:29:02,1.684E-3,ADC,1.684E-3
17:29:03,1.571E-3,ADC,1.571E-3
17:29:04,1.422E-3,ADC,1.422E-3
17:29:05,1.399E-3,ADC,1.399E-3
17:29:06,1.745E-3,ADC,1.745E-3
17:29:07,1.615E-3,ADC,1.615E-3
17:29:08,1.540E-3,ADC,1.540E-3
17:29:09,1.447E-3,ADC,1.447E-3
17:29:10,1.394E-3,ADC,1.394E-3
17:29:11,1.381E-3,ADC,1.381E-3
17:29:12,1.700E-3,ADC,1.700E-3
17:29:13,1.607E-3,ADC,1.607E-3
17:29:14,1.554E-3,ADC,1.554E-3
17:29:15,1.504E-3,ADC,1.504E-3
17:29:16,1.364E-3,ADC,1.364E-3
17:29:17,1.646E-3,ADC,1.646E-3
17:29:18,1.432E-3,ADC,1.432E-3
17:29:19,1.573E-3,ADC,1.573E-3
17:29:20,1.575E-3,ADC,1.575E-3
17:29:21,1.432E-3,ADC,1.432E-3
17:29:22,1.567E-3,ADC,1.567E-3
17:29:23,1.360E-3,ADC,1.360E-3
17:29:24,1.576E-3,ADC,1.576E-3
17:29:25,1.407E-3,ADC,1.407E-3
17:29:26,1.707E-3,ADC,1.707E-3
17:29:27,1.515E-3,ADC,1.515E-3
17:29:28,1.426E-3,ADC,1.426E-3
17:29:29,1.570E-3,ADC,1.570E-3
17:29:30,1.450E-3,ADC,1.450E-3
17:29:31,1.457E-3,ADC,1.457E-3
17:29:32,1.429E-3,ADC,1.429E-3
17:29:33,1.478E-3,ADC,1.478E-3
17:29:34,1.554E-3,ADC,1.554E-3
17:29:35,1.481E-3,ADC,1.481E-3
17:29:36,1.469E-3,ADC,1.469E-3
17:29:37,1.415E-3,ADC,1.415E-3
17:29:38,1.556E-3,ADC,1.556E-3
17:29:39,1.456E-3,ADC,1.456E-3
17:29:40,1.667E-3,ADC,1.667E-3
17:29:41,1.361E-3,ADC,1.361E-3
17:29:42,1.600E-3,ADC,1.600E-3
17:29:43,1.490E-3,ADC,1.490E-3
17:29:44,1.416E-3,ADC,1.416E-3
17:29:45,1.419E-3,ADC,1.419E-3
17:29:46,1.405E-3,ADC,1.405E-3
17:29:47,1.466E-3,ADC,1.466E-3
17:29:48,1.383E-3,ADC,1.383E-3
17:29:49,1.447E-3,ADC,1.447E-3
17:29:50,1.469E-3,ADC,1.469E-3
17:29:51,1.439E-3,ADC,1.439E-3
17:29:52,1.510E-3,ADC,1.510E-3
17:29:53,1.430E-3,ADC,1.430E-3
17:29:54,1.666E-3,ADC,1.666E-3
17:29:55,1.453E-3,ADC,1.453E-3
17:29:56,1.414E-3,ADC,1.414E-3
17:29:57,1.501E-3,ADC,1.501E-3
17:29:58,1.675E-3,ADC,1.675E-3
17:29:59,1.503E-3,ADC,1.503E-3
17:30:00,1.585E-3,ADC,1.585E-3
17:30:01,1.457E-3,ADC,1.457E-3
17:30:02,1.388E-3,ADC,1.388E-3
17:30:03,1.366E-3,ADC,1.366E-3
17:30:04,1.502E-3,ADC,1.502E-3
17:30:05,1.418E-3,ADC,1.418E-3
17:30:06,1.613E-3,ADC,1.613E-3
17:30:07,1.415E-3,ADC,1.415E-3
17:30:08,1.467E-3,ADC,1.467E-3
17:30:09,1.405E-3,ADC,1.405E-3
17:30:10,1.411E-3,ADC,1.411E-3
17:30:11,1.293E-3,ADC,1.293E-3
17:30:12,1.552E-3,ADC,1.552E-3
17:30:13,1.344E-3,ADC,1.344E-3
17:30:14,1.413E-3,ADC,1.413E-3
17:30:15,1.650E-3,ADC,1.650E-3
17:30:16,1.366E-3,ADC,1.366E-3
17:30:17,1.430E-3,ADC,1.430E-3
17:30:18,1.289E-3,ADC,1.289E-3
