21,3
20430,7935,0
00,00,00,01
True,00,01,00,00
20
False,1,1
True,0,1,10,1
14:07:02,0.775E-3,ADC,0.775E-3
14:07:03,0.967E-3,ADC,0.967E-3
14:07:04,0.856E-3,ADC,0.856E-3
14:07:05,0.879E-3,ADC,0.879E-3
14:07:06,0.745E-3,ADC,0.745E-3
14:07:07,0.601E-3,ADC,0.601E-3
14:07:08,0.860E-3,ADC,0.860E-3
14:07:09,0.612E-3,ADC,0.612E-3
14:07:10,0.666E-3,ADC,0.666E-3
14:07:11,0.652E-3,ADC,0.652E-3
14:07:12,0.598E-3,ADC,0.598E-3
14:07:13,0.512E-3,ADC,0.512E-3
14:07:14,0.523E-3,ADC,0.523E-3
14:07:15,0.523E-3,ADC,0.523E-3
14:07:16,0.533E-3,ADC,0.533E-3
14:07:17,0.507E-3,ADC,0.507E-3
14:07:18,0.517E-3,ADC,0.517E-3
14:07:19,0.499E-3,ADC,0.499E-3
14:07:20,0.558E-3,ADC,0.558E-3
14:07:21,0.451E-3,ADC,0.451E-3
14:07:22,0.617E-3,ADC,0.617E-3
14:07:23,0.443E-3,ADC,0.443E-3
14:07:24,0.707E-3,ADC,0.707E-3
14:07:25,0.476E-3,ADC,0.476E-3
14:07:26,0.550E-3,ADC,0.550E-3
14:07:27,0.552E-3,ADC,0.552E-3
14:07:28,0.733E-3,ADC,0.733E-3
14:07:29,0.589E-3,ADC,0.589E-3
14:07:30,0.559E-3,ADC,0.559E-3
14:07:31,0.707E-3,ADC,0.707E-3
14:07:32,0.555E-3,ADC,0.555E-3
14:07:33,0.458E-3,ADC,0.458E-3
14:07:34,0.525E-3,ADC,0.525E-3
14:07:35,0.507E-3,ADC,0.507E-3
14:07:36,0.692E-3,ADC,0.692E-3
14:07:37,0.410E-3,ADC,0.410E-3
14:07:38,0.701E-3,ADC,0.701E-3
14:07:39,0.417E-3,ADC,0.417E-3
14:07:40,0.660E-3,ADC,0.660E-3
14:07:41,0.329E-3,ADC,0.329E-3
14:07:42,0.461E-3,ADC,0.461E-3
14:07:43,0.434E-3,ADC,0.434E-3
14:07:44,0.429E-3,ADC,0.429E-3
14:07:45,0.509E-3,ADC,0.509E-3
14:07:46,0.320E-3,ADC,0.320E-3
14:07:47,0.556E-3,ADC,0.556E-3
14:07:48,0.393E-3,ADC,0.393E-3
14:07:49,0.481E-3,ADC,0.481E-3
14:07:50,0.657E-3,ADC,0.657E-3
14:07:51,0.326E-3,ADC,0.326E-3
14:07:52,0.434E-3,ADC,0.434E-3
14:07:53,0.392E-3,ADC,0.392E-3
14:07:54,0.442E-3,ADC,0.442E-3
14:07:55,0.425E-3,ADC,0.425E-3
14:07:56,0.335E-3,ADC,0.335E-3
14:07:57,0.496E-3,ADC,0.496E-3
14:07:58,0.381E-3,ADC,0.381E-3
14:07:59,0.561E-3,ADC,0.561E-3
14:08:00,0.406E-3,ADC,0.406E-3
14:08:01,0.517E-3,ADC,0.517E-3
14:08:02,0.567E-3,ADC,0.567E-3
14:08:03,0.365E-3,ADC,0.365E-3
14:08:04,0.632E-3,ADC,0.632E-3
14:08:05,0.375E-3,ADC,0.375E-3
14:08:06,0.672E-3,ADC,0.672E-3
14:08:07,0.466E-3,ADC,0.466E-3
14:08:08,0.381E-3,ADC,0.381E-3
14:08:09,0.483E-3,ADC,0.483E-3
14:08:10,0.433E-3,ADC,0.433E-3
14:08:11,0.415E-3,ADC,0.415E-3
14:08:12,0.513E-3,ADC,0.513E-3
14:08:13,0.391E-3,ADC,0.391E-3
14:08:14,0.338E-3,ADC,0.338E-3
14:08:15,0.622E-3,ADC,0.622E-3
14:08:16,0.317E-3,ADC,0.317E-3
14:08:17,0.424E-3,ADC,0.424E-3
14:08:18,0.416E-3,ADC,0.416E-3
14:08:19,0.387E-3,ADC,0.387E-3
14:08:20,0.459E-3,ADC,0.459E-3
14:08:21,0.293E-3,ADC,0.293E-3
14:08:22,0.441E-3,ADC,0.441E-3
14:08:23,0.363E-3,ADC,0.363E-3
14:08:24,0.394E-3,ADC,0.394E-3
14:08:25,0.421E-3,ADC,0.421E-3
