21,3
20430,7680,2
00,00,00,01
True,00,01,00,00
20
False,1,1
True,-0,8,1,9,1
15:28:00,0.192E-3,ADC,0.192E-3
15:28:01,0.114E-3,ADC,0.114E-3
15:28:02,0.198E-3,ADC,0.198E-3
15:28:03,0.204E-3,ADC,0.204E-3
15:28:04,0.141E-3,ADC,0.141E-3
15:28:05,0.149E-3,ADC,0.149E-3
15:28:06,0.140E-3,ADC,0.140E-3
15:28:07,0.127E-3,ADC,0.127E-3
15:28:08,-0.502E-3,ADC,-0.502E-3
15:28:09,-0.383E-3,ADC,-0.383E-3
15:28:10,-0.467E-3,ADC,-0.467E-3
15:28:11,-0.500E-3,ADC,-0.500E-3
15:28:12,0.436E-3,ADC,0.436E-3
15:28:13,0.277E-3,ADC,0.277E-3
15:28:14,0.340E-3,ADC,0.340E-3
15:28:15,0.176E-3,ADC,0.176E-3
15:28:16,0.290E-3,ADC,0.290E-3
15:28:17,0.312E-3,ADC,0.312E-3
15:28:18,0.169E-3,ADC,0.169E-3
15:28:19,0.185E-3,ADC,0.185E-3
15:28:20,0.166E-3,ADC,0.166E-3
15:28:21,0.195E-3,ADC,0.195E-3
15:28:22,0.174E-3,ADC,0.174E-3
15:28:23,0.189E-3,ADC,0.189E-3
15:28:24,0.191E-3,ADC,0.191E-3
15:28:25,0.227E-3,ADC,0.227E-3
15:28:26,0.200E-3,ADC,0.200E-3
15:28:27,0.148E-3,ADC,0.148E-3
15:28:28,0.172E-3,ADC,0.172E-3
15:28:29,0.129E-3,ADC,0.129E-3
15:28:30,0.214E-3,ADC,0.214E-3
15:28:31,0.308E-3,ADC,0.308E-3
15:28:32,0.171E-3,ADC,0.171E-3
15:28:33,0.265E-3,ADC,0.265E-3
15:28:34,0.482E-3,ADC,0.482E-3
15:28:35,0.608E-3,ADC,0.608E-3
15:28:36,0.683E-3,ADC,0.683E-3
15:28:37,0.727E-3,ADC,0.727E-3
15:28:38,0.800E-3,ADC,0.800E-3
15:28:39,0.857E-3,ADC,0.857E-3
15:28:40,0.817E-3,ADC,0.817E-3
15:28:41,0.838E-3,ADC,0.838E-3
15:28:42,0.807E-3,ADC,0.807E-3
15:28:43,0.775E-3,ADC,0.775E-3
15:28:44,0.787E-3,ADC,0.787E-3
15:28:45,0.653E-3,ADC,0.653E-3
15:28:46,0.691E-3,ADC,0.691E-3
15:28:47,0.614E-3,ADC,0.614E-3
15:28:48,0.607E-3,ADC,0.607E-3
15:28:49,0.584E-3,ADC,0.584E-3
15:28:50,0.501E-3,ADC,0.501E-3
15:28:51,0.710E-3,ADC,0.710E-3
15:28:52,0.495E-3,ADC,0.495E-3
15:28:53,0.480E-3,ADC,0.480E-3
15:28:54,0.497E-3,ADC,0.497E-3
15:28:55,0.398E-3,ADC,0.398E-3
15:28:56,0.413E-3,ADC,0.413E-3
15:28:57,0.360E-3,ADC,0.360E-3
15:28:58,0.393E-3,ADC,0.393E-3
15:28:59,0.296E-3,ADC,0.296E-3
15:29:00,0.329E-3,ADC,0.329E-3
15:29:01,0.276E-3,ADC,0.276E-3
15:29:02,0.324E-3,ADC,0.324E-3
15:29:03,0.270E-3,ADC,0.270E-3
15:29:04,0.252E-3,ADC,0.252E-3
15:29:05,0.279E-3,ADC,0.279E-3
15:29:06,0.270E-3,ADC,0.270E-3
15:29:07,0.252E-3,ADC,0.252E-3
15:29:08,0.250E-3,ADC,0.250E-3
15:29:09,0.212E-3,ADC,0.212E-3
15:29:10,0.212E-3,ADC,0.212E-3
15:29:11,0.206E-3,ADC,0.206E-3
15:29:12,0.324E-3,ADC,0.324E-3
15:29:13,0.209E-3,ADC,0.209E-3
15:29:14,0.180E-3,ADC,0.180E-3
15:29:15,0.225E-3,ADC,0.225E-3
15:29:16,0.242E-3,ADC,0.242E-3
15:29:17,0.186E-3,ADC,0.186E-3
15:29:18,0.199E-3,ADC,0.199E-3
15:29:19,0.215E-3,ADC,0.215E-3
15:29:20,0.178E-3,ADC,0.178E-3
15:29:21,0.140E-3,ADC,0.140E-3
15:29:22,0.168E-3,ADC,0.168E-3
15:29:23,0.207E-3,ADC,0.207E-3
