21,3
20430,7935,0
00,00,00,01
True,00,01,00,00
20
False,1,1
True,0,4,8,1
15:04:27,3.948E-3,ADC,3.948E-3
15:04:28,3.899E-3,ADC,3.899E-3
15:04:29,3.944E-3,ADC,3.944E-3
15:04:30,3.965E-3,ADC,3.965E-3
15:04:31,3.747E-3,ADC,3.747E-3
15:04:32,3.714E-3,ADC,3.714E-3
15:04:33,3.667E-3,ADC,3.667E-3
15:04:34,3.683E-3,ADC,3.683E-3
15:04:35,3.572E-3,ADC,3.572E-3
15:04:36,3.733E-3,ADC,3.733E-3
15:04:37,3.484E-3,ADC,3.484E-3
15:04:38,3.593E-3,ADC,3.593E-3
15:04:39,3.462E-3,ADC,3.462E-3
15:04:40,3.445E-3,ADC,3.445E-3
15:04:41,3.478E-3,ADC,3.478E-3
15:04:42,3.557E-3,ADC,3.557E-3
15:04:43,3.398E-3,ADC,3.398E-3
15:04:44,3.378E-3,ADC,3.378E-3
15:04:45,3.414E-3,ADC,3.414E-3
15:04:46,3.333E-3,ADC,3.333E-3
15:04:47,3.361E-3,ADC,3.361E-3
15:04:48,3.420E-3,ADC,3.420E-3
15:04:49,3.241E-3,ADC,3.241E-3
15:04:50,3.299E-3,ADC,3.299E-3
15:04:51,3.165E-3,ADC,3.165E-3
15:04:52,3.188E-3,ADC,3.188E-3
15:04:53,3.153E-3,ADC,3.153E-3
15:04:54,3.168E-3,ADC,3.168E-3
15:04:55,3.074E-3,ADC,3.074E-3
15:04:56,3.145E-3,ADC,3.145E-3
15:04:57,3.100E-3,ADC,3.100E-3
15:04:58,2.995E-3,ADC,2.995E-3
15:04:59,3.053E-3,ADC,3.053E-3
15:05:00,2.935E-3,ADC,2.935E-3
15:05:01,2.984E-3,ADC,2.984E-3
15:05:02,2.984E-3,ADC,2.984E-3
15:05:03,2.988E-3,ADC,2.988E-3
15:05:04,3.124E-3,ADC,3.124E-3
15:05:05,2.952E-3,ADC,2.952E-3
15:05:06,3.034E-3,ADC,3.034E-3
15:05:07,2.918E-3,ADC,2.918E-3
15:05:08,2.970E-3,ADC,2.970E-3
15:05:09,2.984E-3,ADC,2.984E-3
15:05:10,3.138E-3,ADC,3.138E-3
15:05:11,2.990E-3,ADC,2.990E-3
15:05:12,3.103E-3,ADC,3.103E-3
15:05:13,3.059E-3,ADC,3.059E-3
15:05:14,2.927E-3,ADC,2.927E-3
15:05:15,2.876E-3,ADC,2.876E-3
15:05:16,2.940E-3,ADC,2.940E-3
15:05:17,2.914E-3,ADC,2.914E-3
15:05:18,2.999E-3,ADC,2.999E-3
15:05:19,2.882E-3,ADC,2.882E-3
15:05:20,3.120E-3,ADC,3.120E-3
15:05:21,2.848E-3,ADC,2.848E-3
15:05:22,2.899E-3,ADC,2.899E-3
15:05:23,2.852E-3,ADC,2.852E-3
15:05:24,2.991E-3,ADC,2.991E-3
15:05:25,2.837E-3,ADC,2.837E-3
15:05:26,2.891E-3,ADC,2.891E-3
15:05:27,2.915E-3,ADC,2.915E-3
15:05:28,2.835E-3,ADC,2.835E-3
15:05:29,2.857E-3,ADC,2.857E-3
15:05:30,2.804E-3,ADC,2.804E-3
15:05:31,2.954E-3,ADC,2.954E-3
15:05:32,2.833E-3,ADC,2.833E-3
15:05:33,2.839E-3,ADC,2.839E-3
15:05:34,2.947E-3,ADC,2.947E-3
15:05:35,2.766E-3,ADC,2.766E-3
15:05:36,3.022E-3,ADC,3.022E-3
15:05:37,2.785E-3,ADC,2.785E-3
15:05:38,2.773E-3,ADC,2.773E-3
15:05:39,2.878E-3,ADC,2.878E-3
15:05:40,2.819E-3,ADC,2.819E-3
15:05:41,2.885E-3,ADC,2.885E-3
15:05:42,2.924E-3,ADC,2.924E-3
15:05:43,2.830E-3,ADC,2.830E-3
15:05:44,2.782E-3,ADC,2.782E-3
15:05:45,2.792E-3,ADC,2.792E-3
15:05:46,2.918E-3,ADC,2.918E-3
15:05:47,2.815E-3,ADC,2.815E-3
15:05:48,3.015E-3,ADC,3.015E-3
15:05:49,2.812E-3,ADC,2.812E-3
15:05:50,2.790E-3,ADC,2.790E-3
