21,3
20430,7935,0
00,00,00,01
True,00,01,00,00
20
False,1,1
True,0,3500,7,1
14:35:42,0.000,Hz,0.000
14:35:43,0.000,Hz,0.000
14:35:44,0.000,Hz,0.000
14:35:45,0.000,Hz,0.000
14:35:46,0.000,Hz,0.000
14:35:47,0.000,Hz,0.000
14:35:48,0.000,Hz,0.000
14:35:49,0.000,Hz,0.000
14:35:50,0.000,Hz,0.000
14:35:51,0.000,Hz,0.000
14:35:52,0.000,Hz,0.000
14:35:53,0.000,Hz,0.000
14:35:54,0.000,Hz,0.000
14:35:55,0.000,Hz,0.000
14:35:56,0.000,Hz,0.000
14:35:57,0.000,Hz,0.000
14:35:58,0.000,Hz,0.000
14:35:59,0.000,Hz,0.000
14:36:00,0.000,Hz,0.000
14:36:01,0.000,Hz,0.000
14:36:02,0.000,Hz,0.000
14:36:03,0.000,Hz,0.000
14:36:04,0.000,Hz,0.000
14:36:05,0.000,Hz,0.000
14:36:06,0.000,Hz,0.000
14:36:07,0.000,Hz,0.000
14:36:08,0.000,Hz,0.000
14:36:09,0.000,Hz,0.000
14:36:10,0.000,Hz,0.000
14:36:11,0.000,Hz,0.000
14:36:12,0.000,Hz,0.000
14:36:13,0.000,Hz,0.000
14:36:14,0.000,Hz,0.000
14:36:15,0.000,Hz,0.000
14:36:16,0.000,Hz,0.000
14:36:17,0.000,Hz,0.000
14:36:18,0.000,Hz,0.000
14:36:19,0.000,Hz,0.000
14:36:20,0.000,Hz,0.000
14:36:21,0.000,Hz,0.000
14:36:22,0.000,Hz,0.000
14:36:23,0.000,Hz,0.000
14:36:24,0.000,Hz,0.000
14:36:25,0.000,Hz,0.000
14:36:26,0.000,Hz,0.000
14:36:27,0.000,Hz,0.000
14:36:28,0.000,Hz,0.000
14:36:29,0.000,Hz,0.000
14:36:30,0.000,Hz,0.000
14:36:31,0.000,Hz,0.000
14:36:32,+OL,Hz,0.00
14:36:33,33.39,Hz,33.39
14:36:34,31.23,Hz,31.23
14:36:35,31.99,Hz,31.99
14:36:36,31.62,Hz,31.62
14:36:37,29.47,Hz,29.47
14:36:38,29.71,Hz,29.71
14:36:39,29.93,Hz,29.93
14:36:40,29.93,Hz,29.93
14:36:41,29.22,Hz,29.22
14:36:42,24.17,Hz,24.17
14:36:43,0.000,Hz,0.000
14:36:44,0.000,Hz,0.000
14:36:45,0.000,Hz,0.000
14:36:46,0.000,Hz,0.000
14:36:47,0.000,Hz,0.000
