21,3
20430,7935,0
00,00,00,01
True,00,01,00,00
20
False,1,1
True,0,2500,5,1
14:50:13,0.000,Hz,0.000
14:50:14,0.000,Hz,0.000
14:50:15,0.000,Hz,0.000
14:50:16,0.000,Hz,0.000
14:50:17,0.000,Hz,0.000
14:50:18,+OL,Hz,0.00
14:50:19,23.87,Hz,23.87
14:50:20,23.46,Hz,23.46
14:50:21,24.50,Hz,24.50
14:50:22,24.55,Hz,24.55
14:50:23,22.10,Hz,22.10
14:50:24,18.00,Hz,18.00
14:50:25,22.22,Hz,22.22
14:50:26,16.14,Hz,16.14
14:50:27,17.42,Hz,17.42
14:50:28,20.05,Hz,20.05
14:50:29,0.000,Hz,0.000
14:50:30,0.000,Hz,0.000
14:50:31,0.000,Hz,0.000
14:50:32,0.000,Hz,0.000
14:50:33,0.000,Hz,0.000
