21,3
20430,7935,0
00,00,00,01
True,00,01,00,00
20
False,1,1
True,-1,6,7,1
09:15:04,-0.811E-3,ADC,-0.811E-3
09:15:05,-0.613E-3,ADC,-0.613E-3
09:15:06,-0.567E-3,ADC,-0.567E-3
09:15:07,-0.650E-3,ADC,-0.650E-3
09:15:08,-0.212E-3,ADC,-0.212E-3
09:15:09,-0.745E-3,ADC,-0.745E-3
09:15:10,-0.257E-3,ADC,-0.257E-3
09:15:11,-0.796E-3,ADC,-0.796E-3
09:15:12,-0.168E-3,ADC,-0.168E-3
09:15:13,1.661E-3,ADC,1.661E-3
09:15:14,1.023E-3,ADC,1.023E-3
09:15:15,1.301E-3,ADC,1.301E-3
09:15:16,0.684E-3,ADC,0.684E-3
09:15:17,1.316E-3,ADC,1.316E-3
09:15:18,0.863E-3,ADC,0.863E-3
09:15:19,1.454E-3,ADC,1.454E-3
09:15:20,0.478E-3,ADC,0.478E-3
09:15:21,0.732E-3,ADC,0.732E-3
09:15:22,1.197E-3,ADC,1.197E-3
09:15:23,0.504E-3,ADC,0.504E-3
09:15:24,1.362E-3,ADC,1.362E-3
09:15:25,0.818E-3,ADC,0.818E-3
09:15:26,2.387E-3,ADC,2.387E-3
09:15:27,2.745E-3,ADC,2.745E-3
09:15:28,4.631E-3,ADC,4.631E-3
09:15:29,4.912E-3,ADC,4.912E-3
09:15:30,4.929E-3,ADC,4.929E-3
09:15:31,5.223E-3,ADC,5.223E-3
09:15:32,4.618E-3,ADC,4.618E-3
09:15:33,5.137E-3,ADC,5.137E-3
09:15:34,4.144E-3,ADC,4.144E-3
09:15:35,4.421E-3,ADC,4.421E-3
09:15:36,3.779E-3,ADC,3.779E-3
09:15:37,3.340E-3,ADC,3.340E-3
09:15:38,3.520E-3,ADC,3.520E-3
09:15:39,2.930E-3,ADC,2.930E-3
09:15:40,3.325E-3,ADC,3.325E-3
09:15:41,2.732E-3,ADC,2.732E-3
09:15:42,2.790E-3,ADC,2.790E-3
09:15:43,2.502E-3,ADC,2.502E-3
09:15:44,2.169E-3,ADC,2.169E-3
09:15:45,2.267E-3,ADC,2.267E-3
09:15:46,1.786E-3,ADC,1.786E-3
09:15:47,2.399E-3,ADC,2.399E-3
09:15:48,1.640E-3,ADC,1.640E-3
09:15:49,2.135E-3,ADC,2.135E-3
09:15:50,1.728E-3,ADC,1.728E-3
09:15:51,1.221E-3,ADC,1.221E-3
09:15:52,1.679E-3,ADC,1.679E-3
09:15:53,1.011E-3,ADC,1.011E-3
09:15:54,1.855E-3,ADC,1.855E-3
09:15:55,1.065E-3,ADC,1.065E-3
09:15:56,1.840E-3,ADC,1.840E-3
09:15:57,1.434E-3,ADC,1.434E-3
09:15:58,1.734E-3,ADC,1.734E-3
09:15:59,1.220E-3,ADC,1.220E-3
09:16:00,1.176E-3,ADC,1.176E-3
09:16:01,1.286E-3,ADC,1.286E-3
09:16:02,0.832E-3,ADC,0.832E-3
09:16:03,1.432E-3,ADC,1.432E-3
09:16:04,0.594E-3,ADC,0.594E-3
09:16:05,1.186E-3,ADC,1.186E-3
09:16:06,0.512E-3,ADC,0.512E-3
09:16:07,1.025E-3,ADC,1.025E-3
09:16:08,0.752E-3,ADC,0.752E-3
09:16:09,0.588E-3,ADC,0.588E-3
09:16:10,0.989E-3,ADC,0.989E-3
09:16:11,0.450E-3,ADC,0.450E-3
09:16:12,0.985E-3,ADC,0.985E-3
09:16:13,0.410E-3,ADC,0.410E-3
09:16:14,0.674E-3,ADC,0.674E-3
09:16:15,0.603E-3,ADC,0.603E-3
09:16:16,0.593E-3,ADC,0.593E-3
09:16:17,0.850E-3,ADC,0.850E-3
09:16:18,0.378E-3,ADC,0.378E-3
09:16:19,1.244E-3,ADC,1.244E-3
09:16:20,0.487E-3,ADC,0.487E-3
09:16:21,1.188E-3,ADC,1.188E-3
09:16:22,0.667E-3,ADC,0.667E-3
09:16:23,1.137E-3,ADC,1.137E-3
09:16:24,0.928E-3,ADC,0.928E-3
09:16:25,0.882E-3,ADC,0.882E-3
09:16:26,1.110E-3,ADC,1.110E-3
