21,3
20430,7935,0
00,00,00,01
True,00,01,00,00
20
False,1,1
True,0,3,5,7,1
15:12:35,2.946E-3,ADC,2.946E-3
15:12:36,3.178E-3,ADC,3.178E-3
15:12:37,3.069E-3,ADC,3.069E-3
15:12:38,3.016E-3,ADC,3.016E-3
15:12:39,2.990E-3,ADC,2.990E-3
15:12:40,2.871E-3,ADC,2.871E-3
15:12:41,2.943E-3,ADC,2.943E-3
15:12:42,2.813E-3,ADC,2.813E-3
15:12:43,3.064E-3,ADC,3.064E-3
15:12:44,2.859E-3,ADC,2.859E-3
15:12:45,2.835E-3,ADC,2.835E-3
15:12:46,2.910E-3,ADC,2.910E-3
15:12:47,2.675E-3,ADC,2.675E-3
15:12:48,2.983E-3,ADC,2.983E-3
15:12:49,2.878E-3,ADC,2.878E-3
15:12:50,2.754E-3,ADC,2.754E-3
15:12:51,2.858E-3,ADC,2.858E-3
15:12:52,2.699E-3,ADC,2.699E-3
15:12:53,2.886E-3,ADC,2.886E-3
15:12:54,2.874E-3,ADC,2.874E-3
15:12:55,2.725E-3,ADC,2.725E-3
15:12:56,2.767E-3,ADC,2.767E-3
15:12:57,2.661E-3,ADC,2.661E-3
15:12:58,2.808E-3,ADC,2.808E-3
15:12:59,2.675E-3,ADC,2.675E-3
15:13:00,2.861E-3,ADC,2.861E-3
15:13:01,2.647E-3,ADC,2.647E-3
15:13:02,2.611E-3,ADC,2.611E-3
15:13:03,2.584E-3,ADC,2.584E-3
15:13:04,2.845E-3,ADC,2.845E-3
15:13:05,2.532E-3,ADC,2.532E-3
15:13:06,2.579E-3,ADC,2.579E-3
15:13:07,2.500E-3,ADC,2.500E-3
15:13:08,2.575E-3,ADC,2.575E-3
15:13:09,2.567E-3,ADC,2.567E-3
15:13:10,2.500E-3,ADC,2.500E-3
15:13:11,2.567E-3,ADC,2.567E-3
15:13:12,2.471E-3,ADC,2.471E-3
15:13:13,2.752E-3,ADC,2.752E-3
15:13:14,2.534E-3,ADC,2.534E-3
15:13:15,2.565E-3,ADC,2.565E-3
15:13:16,2.634E-3,ADC,2.634E-3
15:13:17,2.519E-3,ADC,2.519E-3
15:13:18,2.731E-3,ADC,2.731E-3
15:13:19,2.463E-3,ADC,2.463E-3
15:13:20,2.490E-3,ADC,2.490E-3
15:13:21,2.580E-3,ADC,2.580E-3
15:13:22,2.692E-3,ADC,2.692E-3
15:13:23,2.518E-3,ADC,2.518E-3
15:13:24,2.631E-3,ADC,2.631E-3
15:13:25,2.481E-3,ADC,2.481E-3
15:13:26,2.501E-3,ADC,2.501E-3
15:13:27,2.397E-3,ADC,2.397E-3
15:13:28,2.418E-3,ADC,2.418E-3
15:13:29,2.456E-3,ADC,2.456E-3
15:13:30,2.411E-3,ADC,2.411E-3
15:13:31,2.358E-3,ADC,2.358E-3
15:13:32,2.669E-3,ADC,2.669E-3
15:13:33,2.363E-3,ADC,2.363E-3
15:13:34,2.394E-3,ADC,2.394E-3
15:13:35,2.364E-3,ADC,2.364E-3
15:13:36,2.517E-3,ADC,2.517E-3
15:13:37,2.372E-3,ADC,2.372E-3
15:13:38,2.407E-3,ADC,2.407E-3
15:13:39,2.440E-3,ADC,2.440E-3
15:13:40,2.306E-3,ADC,2.306E-3
15:13:41,2.389E-3,ADC,2.389E-3
15:13:42,2.291E-3,ADC,2.291E-3
15:13:43,2.298E-3,ADC,2.298E-3
15:13:44,2.440E-3,ADC,2.440E-3
15:13:45,2.343E-3,ADC,2.343E-3
15:13:46,2.500E-3,ADC,2.500E-3
15:13:47,2.221E-3,ADC,2.221E-3
15:13:48,2.353E-3,ADC,2.353E-3
15:13:49,2.410E-3,ADC,2.410E-3
15:13:50,2.342E-3,ADC,2.342E-3
15:13:51,2.440E-3,ADC,2.440E-3
15:13:52,2.556E-3,ADC,2.556E-3
15:13:53,2.371E-3,ADC,2.371E-3
15:13:54,2.299E-3,ADC,2.299E-3
15:13:55,2.431E-3,ADC,2.431E-3
15:13:56,2.322E-3,ADC,2.322E-3
15:13:57,2.383E-3,ADC,2.383E-3
15:13:58,2.257E-3,ADC,2.257E-3
