21,3
20430,7935,0
00,00,00,01
True,00,01,00,00
20
False,1,1
True,0,3500,7,1
15:01:51,0.000,Hz,0.000
15:01:52,0.000,Hz,0.000
15:01:53,0.000,Hz,0.000
15:01:54,0.000,Hz,0.000
15:01:55,0.000,Hz,0.000
15:01:56,0.000,Hz,0.000
15:01:57,0.000,Hz,0.000
15:01:58,+OL,Hz,0.00
15:01:59,34.96,Hz,34.96
15:02:00,33.83,Hz,33.83
15:02:01,33.29,Hz,33.29
15:02:02,32.51,Hz,32.51
15:02:03,32.34,Hz,32.34
15:02:04,32.73,Hz,32.73
15:02:05,32.41,Hz,32.41
15:02:06,32.54,Hz,32.54
15:02:07,32.60,Hz,32.60
15:02:08,27.00,Hz,27.00
15:02:09,0.000,Hz,0.000
15:02:10,0.000,Hz,0.000
15:02:11,0.000,Hz,0.000
15:02:12,0.000,Hz,0.000
15:02:13,0.000,Hz,0.000
