03:21:50,0.000,Hz,0.000
03:21:51,0.000,Hz,0.000
03:21:52,0.000,Hz,0.000
03:21:53,0.000,Hz,0.000
03:21:54,0.000,Hz,0.000
03:21:55,0.000,Hz,0.000
03:21:56,0.000,Hz,0.000
03:21:57,0.000,Hz,0.000
03:21:58,0.000,Hz,0.000
03:21:59,0.000,Hz,0.000
03:22:00,#NOME?,Hz,0.00
03:22:01,32.99,Hz,32.99
03:22:02,32.99,Hz,32.99
03:22:03,35.20,Hz,35.20
03:22:04,36.79,Hz,36.79
03:22:05,32.26,Hz,32.26
03:22:06,31.81,Hz,31.81
03:22:07,31.95,Hz,31.95
03:22:08,32.35,Hz,32.35
03:22:09,33.12,Hz,33.12
03:22:10,31.61,Hz,31.61
03:22:11,33.32,Hz,33.32
03:22:12,2.340,Hz,2.340
03:22:13,0.000,Hz,0.000
03:22:14,0.000,Hz,0.000
03:22:15,0.000,Hz,0.000
