n,tau,var,n_fit,tau_fit,var_fit
1.67,246.74,36512.69,1.13,297.0,1
1.68,252.0,37801.63,1.18,290.0,1
1.86,271.77,39746.96,1.25,320.0,1
1.93,281.53,41075.63,1.29,335.0,1
1.63,254.79,39908.15,1.27,268.0,1
