n,tau,var,n_fit,tau_fit,var_fit
1.56,238.94,36670.1,1.32,243.0,1
1.57,236.49,35639.17,1.2,250.0,1
1.54,179.35,20823.39,1.8,162.0,1
1.56,207.64,27645.23,1.18,221.0,1
1.62,242.68,36286.91,1.38,244.0,1
