n,tau,var,n_fit,tau_fit,var_fit
1.3,206.31,32682.34,1.36,188.0,1
-2.22,902.65,-367091.94,2.0,400.0,1
1.39,216.23,33640.52,1.2,209.0,1
0.94,228.27,55406.6,1.32,148.0,1
1.59,225.56,32019.82,1.27,240.0,1
1.63,266.71,43740.05,1.2,278.0,1
