i,tm,var,n,r,a,b,c
1,264.0,43559.92,1.6,52710.86,196.86,0.01,0.02
2,264.0,43559.92,1.6,87649.62,329.14,0.01,0.02
3,240.12,34673.55,1.66,172439.94,341.97,0.01,0.02
4,246.29,41536.11,1.46,132599.49,244.98,0.01,0.02
5,245.21,36472.34,1.65,137740.54,325.67,0.01,0.02
