i,tm,var,n,r,a,b,c
1,264.0,43559.92,1.6,240938.81,151.85,0.01,0.02
2,264.0,43559.92,1.6,183284.17,284.17,0.01,0.02
3,264.0,43559.92,1.6,170850.71,307.06,0.01,0.02
4,237.6,40772.08,1.38,83384.41,224.34,0.01,0.03
5,260.26,43080.75,1.57,184165.57,240.76,0.01,0.02
