i,tm,var,n,r,a,b,c
1,264.0,43559.92,1.6,66883.53,236.59,0.01,0.02
2,244.05,41324.2,1.44,58940.36,206.92,0.01,0.02
3,236.6,33809.69,1.66,46786.07,252.52,0.01,0.02
4,246.64,40791.36,1.49,49829.57,173.33,0.01,0.02
5,255.89,42555.72,1.54,48641.45,204.71,0.01,0.02
6,264.0,43559.92,1.6,80648.43,206.88,0.01,0.02
