i,tm,var,n,r,a,b,c
1,211.69,31182.7,1.44,162706.82,180.4,0.01,0.03
2,197.97,26650.65,1.47,131468.33,193.68,0.01,0.03
3,229.98,37814.39,1.4,107218.68,220.58,0.01,0.03
4,200.98,27610.77,1.46,48677.63,173.13,0.01,0.03
5,237.6,40772.08,1.38,73340.8,182.22,0.01,0.03
