Theta,E_theta
4.422296,0.067239
4.436159,0.053396
4.450021,0.079105
4.463884,0.047463
4.477747,0.057351
4.491611,0.069217
4.505474,0.061306
4.519336,0.065261
4.533199,0.057351
4.547062,0.067239
4.560925,0.065261
4.574789,0.055373
4.588652,0.094925
4.602514,0.043508
4.616377,0.106791
4.630240,0.069217
4.644104,0.073172
4.657967,0.071194
4.671829,0.073172
4.685692,0.073172
4.699555,0.055373
4.713418,0.073172
4.727282,0.065261
4.741144,0.073172
4.755007,0.079105
4.768870,0.071194
4.782733,0.085037
4.796597,0.069217
4.810459,0.075149
4.824322,0.067239
4.838185,0.100858
4.852048,0.079105
4.865911,0.081082
4.879774,0.081082
4.893637,0.079105
4.907500,0.059328
4.921363,0.067239
4.935226,0.075149
4.949090,0.083060
4.962952,0.071194
4.976815,0.079105
4.990678,0.069217
5.004541,0.116679
5.018404,0.071194
5.032267,0.069217
5.046130,0.063284
5.059993,0.061306
