Current
0.00E+00
2.67E-01
6.78E-01
7.80E-01
9.96E-01
1.01E+00
1.07E+00
1.04E+00
1.03E+00
9.78E-01
9.37E-01
9.10E-01
8.41E-01
7.77E-01
7.37E-01
6.81E-01
6.05E-01
5.60E-01
5.25E-01
4.99E-01
4.80E-01
4.49E-01
4.16E-01
3.73E-01
3.66E-01
3.33E-01
3.39E-01
3.16E-01
3.00E-01
2.84E-01
2.53E-01
2.55E-01
2.34E-01
2.20E-01
2.22E-01
2.01E-01
2.08E-01
1.86E-01
1.97E-01
1.75E-01
1.76E-01
1.56E-01
1.60E-01
1.47E-01
1.54E-01
1.53E-01
1.32E-01
1.61E-01
1.33E-01
1.29E-01
1.33E-01
1.27E-01
1.47E-01
1.14E-01
1.47E-01
1.18E-01
1.27E-01
1.26E-01
1.15E-01
1.41E-01
1.11E-01
1.35E-01
1.04E-01
1.20E-01
9.90E-02
1.07E-01
1.29E-01
1.00E-01
1.24E-01
9.80E-02
9.80E-02
1.01E-01
1.16E-01
1.01E-01
1.12E-01
1.05E-01
9.20E-02
1.16E-01
8.90E-02
1.08E-01
9.70E-02
9.50E-02
1.09E-01
9.20E-02
1.13E-01
9.00E-02
1.09E-01
1.02E-01
8.90E-02
1.05E-01
8.20E-02
1.08E-01
7.90E-02
9.00E-02
1.04E-01
8.20E-02
1.07E-01
8.50E-02
1.06E-01
9.80E-02
9.10E-02
1.04E-01
8.40E-02
9.40E-02
7.60E-02
8.30E-02
7.00E-02
7.00E-02
6.50E-02
6.90E-02
7.90E-02
6.80E-02
8.30E-02
6.90E-02
9.10E-02
7.40E-02
8.70E-02
8.30E-02
7.80E-02
9.50E-02
8.00E-02
9.70E-02
7.20E-02
9.00E-02
7.40E-02
8.00E-02
9.40E-02
7.30E-02
9.20E-02
6.90E-02
8.30E-02
6.30E-02
7.90E-02
6.30E-02
7.30E-02
8.00E-02
7.20E-02
9.10E-02
6.80E-02
9.50E-02
7.60E-02
6.80E-02
8.70E-02
6.70E-02
9.80E-02
6.70E-02
9.80E-02
8.50E-02
